epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,11144,1.21752,0.78934,1.09441,0.8158,0.81845,0.85027,0.47416,1.49636,0.87678,1.23927,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884
31,11369.8,1.23051,0.78017,1.08446,0.82029,0.7931,0.83032,0.45296,1.51117,0.89311,1.24702,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
32,11600,1.24546,0.78456,1.10145,0.83347,0.80496,0.85225,0.46676,1.55594,0.88294,1.25219,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554
33,11826.5,1.215,0.78356,1.08995,0.81853,0.83996,0.852,0.47363,1.48442,0.84696,1.22348,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889
34,12052.2,1.19391,0.74415,1.07484,0.80077,0.80374,0.83724,0.47571,1.47106,0.87182,1.2274,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239
35,12280.9,1.20807,0.75847,1.09548,0.81387,0.78768,0.82838,0.45768,1.5083,0.87115,1.23913,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589
36,12505.9,1.14608,0.7431,1.06458,0.79223,0.80948,0.82511,0.46285,1.48842,0.85094,1.24105,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938
37,12734.3,1.18244,0.74459,1.07868,0.82515,0.80024,0.83823,0.4614,1.50739,0.85793,1.25748,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288
38,12971.3,1.18631,0.72938,1.07475,0.85082,0.79205,0.84526,0.47379,1.48817,0.85109,1.25112,0.00316913,0.00105638,0.00316913,0.00105638,0.00316913,0.00105638,0.00316913,0.00105638
39,13199,1.18426,0.74268,1.07808,0.83163,0.81631,0.85139,0.46728,1.55356,0.85807,1.26114,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987
40,13425.9,1.17724,0.72601,1.06686,0.79829,0.81315,0.84097,0.46983,1.50054,0.85296,1.24062,0.00307011,0.00102337,0.00307011,0.00102337,0.00307011,0.00102337,0.00307011,0.00102337
41,13651.5,1.15708,0.71992,1.06303,0.82166,0.8195,0.84436,0.47383,1.47831,0.8258,1.25002,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
42,13877.7,1.17099,0.7432,1.06724,0.82318,0.82434,0.85133,0.46345,1.49976,0.83916,1.26287,0.00297109,0.000990365,0.00297109,0.000990365,0.00297109,0.000990365,0.00297109,0.000990365
43,14107.8,1.14783,0.73128,1.06261,0.84507,0.81914,0.86169,0.48602,1.46056,0.81689,1.24627,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861
44,14340.9,1.13724,0.6911,1.03864,0.84659,0.80549,0.85921,0.48154,1.46561,0.81707,1.25218,0.00287207,0.000957358,0.00287207,0.000957358,0.00287207,0.000957358,0.00287207,0.000957358
45,14662.9,1.13344,0.7006,1.05775,0.847,0.81806,0.87225,0.49171,1.46691,0.81379,1.2447,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855
46,15104.5,1.15106,0.69852,1.05393,0.80819,0.8234,0.85147,0.48554,1.45917,0.81917,1.24983,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352
47,15799.4,1.13589,0.69713,1.06293,0.84331,0.81412,0.86493,0.49199,1.45609,0.81695,1.24443,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848
48,16754.4,1.12095,0.68444,1.05953,0.85733,0.82218,0.87271,0.49128,1.45963,0.79836,1.24654,0.00267403,0.000891345,0.00267403,0.000891345,0.00267403,0.000891345,0.00267403,0.000891345
49,17533.4,1.08191,0.67114,1.03407,0.8364,0.81735,0.86023,0.4778,1.48088,0.82232,1.25785,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842
50,18086,1.11257,0.6844,1.04861,0.83822,0.81368,0.86187,0.47806,1.46751,0.81633,1.25846,0.00257501,0.000858338,0.00257501,0.000858338,0.00257501,0.000858338,0.00257501,0.000858338
51,18525.8,1.12942,0.69934,1.05652,0.84262,0.83297,0.85744,0.47292,1.49206,0.81073,1.27535,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835
52,18964.6,1.1299,0.69509,1.05043,0.84144,0.83697,0.86634,0.484,1.50391,0.80926,1.26321,0.002476,0.000825332,0.002476,0.000825332,0.002476,0.000825332,0.002476,0.000825332
53,19390.6,1.10516,0.66272,1.0416,0.8482,0.80977,0.8527,0.47729,1.46121,0.81654,1.25696,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828
54,19808.8,1.10713,0.67773,1.04011,0.83752,0.81917,0.86119,0.48838,1.44318,0.80391,1.26199,0.00237698,0.000792325,0.00237698,0.000792325,0.00237698,0.000792325,0.00237698,0.000792325
55,20810,1.08754,0.66967,1.03196,0.84594,0.79147,0.85825,0.48104,1.46746,0.81537,1.27503,0.00232747,0.000775822,0.00232747,0.000775822,0.00232747,0.000775822,0.00232747,0.000775822
56,21973.3,1.10948,0.68255,1.06161,0.82023,0.80067,0.84914,0.48028,1.48393,0.80808,1.27926,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318
57,22561.1,1.09088,0.66046,1.03555,0.85119,0.8024,0.86215,0.48713,1.46837,0.80049,1.27238,0.00222845,0.000742815,0.00222845,0.000742815,0.00222845,0.000742815,0.00222845,0.000742815
58,23004.9,1.08609,0.64922,1.03247,0.84884,0.79745,0.85887,0.47706,1.48236,0.80366,1.2825,0.00217894,0.000726312,0.00217894,0.000726312,0.00217894,0.000726312,0.00217894,0.000726312
59,23458.3,1.10258,0.65014,1.02648,0.82127,0.81619,0.848,0.47435,1.48692,0.79957,1.27786,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809
60,23923.3,1.07341,0.65287,1.01435,0.81548,0.83896,0.853,0.48004,1.47101,0.82103,1.27035,0.00207992,0.000693305,0.00207992,0.000693305,0.00207992,0.000693305,0.00207992,0.000693305
61,24364.2,1.08084,0.65476,1.03299,0.83043,0.82516,0.86068,0.49006,1.46083,0.79538,1.27128,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
62,24836.4,1.06357,0.63972,1.02493,0.84162,0.81587,0.85744,0.47478,1.48912,0.80299,1.27329,0.0019809,0.000660299,0.0019809,0.000660299,0.0019809,0.000660299,0.0019809,0.000660299
63,25280.6,1.07956,0.64496,1.03393,0.83308,0.83398,0.86894,0.48501,1.49373,0.78935,1.27553,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795
64,25726.6,1.06465,0.65397,1.02319,0.86027,0.81857,0.86675,0.48406,1.46663,0.78795,1.26352,0.00188188,0.000627292,0.00188188,0.000627292,0.00188188,0.000627292,0.00188188,0.000627292
65,26157.4,1.02512,0.62083,1.01521,0.87045,0.81786,0.86569,0.4813,1.45877,0.78517,1.26414,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789
66,26939.7,1.0704,0.64902,1.02774,0.85809,0.82272,0.8657,0.49201,1.4765,0.78921,1.2724,0.00178286,0.000594286,0.00178286,0.000594286,0.00178286,0.000594286,0.00178286,0.000594286
67,27749.2,1.06676,0.63085,1.03041,0.86151,0.81089,0.86123,0.48721,1.46879,0.78768,1.26754,0.00173335,0.000577782,0.00173335,0.000577782,0.00173335,0.000577782,0.00173335,0.000577782
68,27983.4,1.03647,0.6169,1.02287,0.8554,0.82541,0.86234,0.48544,1.46317,0.78794,1.26117,0.00168384,0.000561279,0.00168384,0.000561279,0.00168384,0.000561279,0.00168384,0.000561279
69,28213,1.03202,0.63015,1.01309,0.84583,0.81679,0.85156,0.47924,1.46044,0.79067,1.27201,0.00163433,0.000544776,0.00163433,0.000544776,0.00163433,0.000544776,0.00163433,0.000544776
70,28443.6,1.03198,0.6169,1.00433,0.84009,0.82703,0.86376,0.49136,1.4469,0.77152,1.26976,0.00158482,0.000528272,0.00158482,0.000528272,0.00158482,0.000528272,0.00158482,0.000528272
71,28671,1.02337,0.61009,0.99707,0.83103,0.83725,0.86387,0.48698,1.4652,0.79144,1.27004,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769
72,28901.7,1.02108,0.60447,1.00833,0.85012,0.80893,0.86051,0.48769,1.46631,0.79048,1.27645,0.0014858,0.000495266,0.0014858,0.000495266,0.0014858,0.000495266,0.0014858,0.000495266
73,29129.8,1.02981,0.62271,1.00437,0.83065,0.82812,0.85929,0.49134,1.46196,0.78927,1.27807,0.00143629,0.000478762,0.00143629,0.000478762,0.00143629,0.000478762,0.00143629,0.000478762
74,29357.2,1.01727,0.60725,0.99712,0.83519,0.83889,0.861,0.4907,1.43664,0.77161,1.26879,0.00138678,0.000462259,0.00138678,0.000462259,0.00138678,0.000462259,0.00138678,0.000462259
75,29581.3,0.98694,0.59702,0.98333,0.85272,0.83507,0.85921,0.49222,1.42149,0.77238,1.26505,0.00133727,0.000445756,0.00133727,0.000445756,0.00133727,0.000445756,0.00133727,0.000445756
76,29809,1.00911,0.59588,0.99963,0.84671,0.84694,0.86762,0.49216,1.427,0.77498,1.26423,0.00128776,0.000429253,0.00128776,0.000429253,0.00128776,0.000429253,0.00128776,0.000429253
77,30034.4,1.00591,0.59994,1.00618,0.84714,0.82777,0.86194,0.49345,1.44663,0.77967,1.26881,0.00123825,0.000412749,0.00123825,0.000412749,0.00123825,0.000412749,0.00123825,0.000412749
78,30264.6,0.98922,0.59494,0.9912,0.85328,0.82199,0.8728,0.50018,1.44163,0.7685,1.27333,0.00118874,0.000396246,0.00118874,0.000396246,0.00118874,0.000396246,0.00118874,0.000396246
79,30496.2,0.99368,0.58609,0.99268,0.86026,0.83094,0.86982,0.49481,1.43771,0.75939,1.27127,0.00113923,0.000379743,0.00113923,0.000379743,0.00113923,0.000379743,0.00113923,0.000379743
80,30723.5,1.00021,0.60022,0.99577,0.85351,0.83724,0.87237,0.49088,1.45916,0.7676,1.27891,0.00108972,0.000363239,0.00108972,0.000363239,0.00108972,0.000363239,0.00108972,0.000363239
81,30947.2,0.98678,0.589,0.98311,0.84518,0.83308,0.86461,0.49199,1.45155,0.77303,1.27511,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736
82,31175.3,0.98601,0.5872,0.99066,0.86359,0.81036,0.87227,0.49507,1.44078,0.77488,1.26437,0.000990698,0.000330233,0.000990698,0.000330233,0.000990698,0.000330233,0.000990698,0.000330233
83,31402.7,0.96648,0.58658,0.98976,0.85365,0.81951,0.87176,0.49332,1.44125,0.76736,1.27288,0.000941188,0.000313729,0.000941188,0.000313729,0.000941188,0.000313729,0.000941188,0.000313729
84,31631.3,0.97083,0.57088,0.98868,0.85791,0.8158,0.8725,0.49286,1.45471,0.77621,1.27837,0.000891678,0.000297226,0.000891678,0.000297226,0.000891678,0.000297226,0.000891678,0.000297226
85,31860.6,0.97556,0.57249,0.99856,0.86235,0.80926,0.86665,0.49669,1.43314,0.76917,1.27885,0.000842168,0.000280723,0.000842168,0.000280723,0.000842168,0.000280723,0.000842168,0.000280723
86,32088.4,0.95463,0.56208,0.96934,0.84214,0.82479,0.86473,0.49382,1.44088,0.7723,1.27538,0.000792659,0.00026422,0.000792659,0.00026422,0.000792659,0.00026422,0.000792659,0.00026422
87,32317.7,0.98355,0.57128,0.98335,0.8465,0.81197,0.86277,0.49501,1.46607,0.78497,1.28776,0.000743149,0.000247716,0.000743149,0.000247716,0.000743149,0.000247716,0.000743149,0.000247716
88,32546,0.95363,0.5668,0.9831,0.85504,0.8042,0.85835,0.49121,1.45788,0.78118,1.28287,0.000693639,0.000231213,0.000693639,0.000231213,0.000693639,0.000231213,0.000693639,0.000231213
89,32775.2,0.96601,0.56941,0.98683,0.85093,0.8121,0.8598,0.49308,1.44897,0.77371,1.29068,0.000644129,0.00021471,0.000644129,0.00021471,0.000644129,0.00021471,0.000644129,0.00021471
90,33004,0.93757,0.54957,0.97456,0.85531,0.81951,0.86412,0.49872,1.4463,0.77107,1.28079,0.000594619,0.000198206,0.000594619,0.000198206,0.000594619,0.000198206,0.000594619,0.000198206
91,33232.3,0.96969,0.51805,0.96972,0.84826,0.80872,0.8512,0.47425,1.49229,0.79671,1.30388,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703
92,33457.6,0.94601,0.50632,0.95502,0.83806,0.81967,0.85329,0.4778,1.48594,0.78994,1.29876,0.000495599,0.0001652,0.000495599,0.0001652,0.000495599,0.0001652,0.000495599,0.0001652
93,33686.2,0.93993,0.4968,0.96015,0.83363,0.82543,0.84931,0.47916,1.49312,0.78957,1.30321,0.000446089,0.000148696,0.000446089,0.000148696,0.000446089,0.000148696,0.000446089,0.000148696
94,33909.8,0.91502,0.49566,0.95345,0.83887,0.8308,0.85769,0.48753,1.4748,0.79821,1.29251,0.000396579,0.000132193,0.000396579,0.000132193,0.000396579,0.000132193,0.000396579,0.000132193
95,34134.3,0.9019,0.48503,0.94294,0.85053,0.82003,0.8536,0.48324,1.46572,0.78806,1.29522,0.000347069,0.00011569,0.000347069,0.00011569,0.000347069,0.00011569,0.000347069,0.00011569
96,34358.2,0.91377,0.48578,0.95278,0.84885,0.82716,0.85381,0.4905,1.45668,0.77842,1.28963,0.00029756,9.91865e-05,0.00029756,9.91865e-05,0.00029756,9.91865e-05,0.00029756,9.91865e-05
97,34581,0.91254,0.4899,0.95497,0.84657,0.83297,0.85901,0.49202,1.46148,0.77686,1.2904,0.00024805,8.26832e-05,0.00024805,8.26832e-05,0.00024805,8.26832e-05,0.00024805,8.26832e-05
98,34808.2,0.90428,0.47918,0.93288,0.86304,0.82451,0.86238,0.4944,1.46746,0.77562,1.29143,0.00019854,6.61799e-05,0.00019854,6.61799e-05,0.00019854,6.61799e-05,0.00019854,6.61799e-05
99,35034.2,0.90343,0.48421,0.94889,0.86732,0.81574,0.86304,0.49521,1.46378,0.77503,1.29255,0.00014903,4.96766e-05,0.00014903,4.96766e-05,0.00014903,4.96766e-05,0.00014903,4.96766e-05
100,35258.1,0.8893,0.48021,0.94567,0.86224,0.81896,0.86452,0.49239,1.46751,0.77747,1.29237,9.95199e-05,3.31733e-05,9.95199e-05,3.31733e-05,9.95199e-05,3.31733e-05,9.95199e-05,3.31733e-05
