epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,17395.5,1.19849,1.09806,1.40236,0.73415,0.69323,0.70386,0.34175,2.1214,1.442,1.37985,0.00294988,0.000983292,0.00294988,0.000983292,0.00294988,0.000983292,0.00294988,0.000983292
31,17950.2,1.2005,1.08152,1.40746,0.68506,0.66892,0.6551,0.32369,2.24079,1.4604,1.42435,0.00287915,0.000959716,0.00287915,0.000959716,0.00287915,0.000959716,0.00287915,0.000959716
32,18505.2,1.18847,1.07107,1.38899,0.66116,0.63519,0.63804,0.32485,2.30592,1.73865,1.48569,0.00280842,0.00093614,0.00280842,0.00093614,0.00280842,0.00093614,0.00280842,0.00093614
33,19062.4,1.19499,1.04829,1.39279,0.73497,0.6686,0.67787,0.33434,2.22249,1.49218,1.44214,0.00273769,0.000912563,0.00273769,0.000912563,0.00273769,0.000912563,0.00273769,0.000912563
34,19618.1,1.17055,1.03346,1.37682,0.71185,0.65173,0.66765,0.33369,2.28881,1.62895,1.46995,0.00266696,0.000888987,0.00266696,0.000888987,0.00266696,0.000888987,0.00266696,0.000888987
35,20171.1,1.17025,1.03393,1.3811,0.75007,0.67196,0.68644,0.35186,2.14004,1.45573,1.41514,0.00259623,0.000865411,0.00259623,0.000865411,0.00259623,0.000865411,0.00259623,0.000865411
36,20723.9,1.16579,1.01089,1.38137,0.7135,0.69063,0.67938,0.33975,2.14397,1.51719,1.41236,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835
37,21281.3,1.15679,0.99295,1.36839,0.6577,0.63355,0.62404,0.32639,2.4918,1.6839,1.64265,0.00245478,0.000818259,0.00245478,0.000818259,0.00245478,0.000818259,0.00245478,0.000818259
38,21837.2,1.14537,0.98954,1.36632,0.72799,0.6659,0.66492,0.33733,2.17814,1.57972,1.43651,0.00238405,0.000794683,0.00238405,0.000794683,0.00238405,0.000794683,0.00238405,0.000794683
39,22401.2,1.12227,0.98462,1.35804,0.70196,0.67571,0.6727,0.34583,2.20266,1.4846,1.43265,0.00231332,0.000771107,0.00231332,0.000771107,0.00231332,0.000771107,0.00231332,0.000771107
40,22963.5,1.1302,0.96441,1.36707,0.70179,0.6233,0.65238,0.34038,2.33284,1.55853,1.48385,0.00224259,0.00074753,0.00224259,0.00074753,0.00224259,0.00074753,0.00224259,0.00074753
41,23522.2,1.126,0.97265,1.35394,0.69638,0.63634,0.63454,0.32919,2.38895,1.65505,1.52974,0.00217186,0.000723954,0.00217186,0.000723954,0.00217186,0.000723954,0.00217186,0.000723954
42,24086.5,1.12622,0.96063,1.34182,0.69349,0.68091,0.65669,0.34085,2.21286,1.50092,1.42726,0.00210113,0.000700378,0.00210113,0.000700378,0.00210113,0.000700378,0.00210113,0.000700378
43,24650,1.11839,0.946,1.34643,0.69472,0.68022,0.66588,0.34,2.27377,1.5558,1.45339,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
44,25207.7,1.12334,0.93464,1.3433,0.71034,0.69621,0.66552,0.33516,2.21263,1.52339,1.447,0.00195968,0.000653226,0.00195968,0.000653226,0.00195968,0.000653226,0.00195968,0.000653226
45,25794.4,1.11753,0.93673,1.34886,0.6946,0.65409,0.62288,0.32597,2.36827,1.62635,1.53659,0.00188895,0.00062965,0.00188895,0.00062965,0.00188895,0.00062965,0.00188895,0.00062965
46,26357.7,1.10685,0.91828,1.34372,0.68055,0.65623,0.6309,0.33343,2.33953,1.64434,1.53532,0.00181822,0.000606074,0.00181822,0.000606074,0.00181822,0.000606074,0.00181822,0.000606074
